# A1 Stufe 2 — Flussleiter: f_c(I), C(I) und die ON/OFF-Asymmetrie
# Zweck: das eigentliche A1-Ergebnis. f_c an mehreren Arbeitspunkten, um
# 'f_c ~ I' zu pruefen — das Akzeptanzkriterium, an dem sich entscheidet, ob die
# Flussachse stimmt (Kruemmung deutet auf einen Kalibrierfehler, nicht auf neue
# Pixelphysik; dann geht es zu A6).
# 
# ERST FAHREN, WENN STUFE 1 BESTANDEN IST. Ohne Plateau ist jedes f_c hier
# wieder nur eine Obergrenze, und ohne bestandenen DC-Test ist die Normierung
# nicht gerechtfertigt.
# 
# Frequenzleiter je Arbeitspunkt: etwa 0.08 bis 12 x das ERWARTETE f_c,
# geometrisch. Beim dunkelsten Punkt wird f_min auf 0.075 Hz angehoben, weil
# die urspruenglichen 0.058 Hz bei 500 kSa/s nicht in den 32-s-Cache passen.
# Die Erwartung skaliert linear aus dem Messwert f_c(0.40) = 2.9 Hz — genau die
# Annahme, die geprueft wird. Liegt f_c weit daneben, sitzt die Leiter schief;
# nach dem ersten Arbeitspunkt kurz kontrollieren und ggf. neu generieren.
# 
# Oberhalb ~20 x f_c war bei der Vorsitzung keine Antwort mehr messbar
# (|H| < 0.03), deshalb endet die Leiter dort statt bei 2 kHz.
#
# Umfang: 231 Recordings, ~224 min reine Aufnahmezeit (inkl. 11 s Overhead je Recording)
label,mean_u,frequency_hz,depth_a,duration_s,settle_s,role
#
# ==========================================================================
# mean_u = 0.10   erwartetes f_c ~ 0.72 Hz   Leiter 0.075 .. 8.7 Hz
# Lokales Plateau: 0.075 und 0.145 Hz; diese Punkte duerfen nicht durch die 0.30-Messung ersetzt werden.
#
# --- Flusspunkt mean_u = 0.10 ----------------------------------------
floor,0.10,0.725,0.02,28,8,background
windows,0.10,0.075,1.70,120,3,pilot
windows,0.10,8.7,1.70,20,3,pilot
ladder,0.10,0.075,0.15,267,3,
ladder,0.10,0.075,0.28,267,3,
ladder,0.10,0.075,0.45,267,3,
ladder,0.10,0.075,0.80,267,3,
ladder,0.10,0.075,1.70,267,3,
ladder,0.10,0.145,1.70,138,3,
ladder,0.10,0.145,0.80,138,3,
ladder,0.10,0.145,0.45,138,3,
ladder,0.10,0.145,0.28,138,3,
ladder,0.10,0.145,0.15,138,3,
ladder,0.10,0.362,0.15,56,3,
ladder,0.10,0.362,0.28,56,3,
ref,0.10,0.145,0.80,120,3,
ladder,0.10,0.362,0.45,56,3,
ladder,0.10,0.362,0.80,56,3,
ladder,0.10,0.362,1.30,56,3,
ladder,0.10,0.362,1.70,56,3,
ladder,0.10,0.725,1.70,28,3,
ladder,0.10,0.725,1.30,28,3,
ladder,0.10,0.725,0.80,28,3,
ladder,0.10,0.725,0.45,28,3,
ladder,0.10,0.725,0.28,28,3,
ladder,0.10,0.725,0.15,28,3,
ladder,0.10,1.595,0.15,20,3,
ladder,0.10,1.595,0.28,20,3,
ref,0.10,0.145,0.80,120,3,
ladder,0.10,1.595,0.45,20,3,
ladder,0.10,1.595,0.80,20,3,
ladder,0.10,1.595,1.30,20,3,
ladder,0.10,1.595,1.70,20,3,
ladder,0.10,3.625,1.70,20,3,
ladder,0.10,3.625,1.30,20,3,
