# A3 one-flux acquisition: five frequencies, eight depths, interleaved references.
# Current emission PD, dark reference applied; calibrated optical log-sine and J24.
# Keep sample, ROI, mask, bias-v1 and PD gain/load fixed. No online cutoff is required.
# All depths are commanded; derive true log contrast from saved PDQ offline.
# Compare counts/cycle across frequencies before estimating C. No plateau is assumed.
# low_depth_control rows use a=0.01; they are NOT constant-light backgrounds.
# 48 recordings; 2080 s recording + settling; allow about 11 s extra per file plus operation/recovery.
camera_profile,label,mean_u,frequency_hz,depth_a,duration_s,settle_s,role
A1-bias-v1-monitoring,low_depth_control_start,0.3,2,0.01,20,4,
A1-bias-v1-monitoring,reference_start,0.3,2,0.6,20,4,
A1-bias-v1-monitoring,grid_f2_a0.4,0.3,2,0.4,20,4,
A1-bias-v1-monitoring,grid_f2_a0.12,0.3,2,0.12,20,4,
A1-bias-v1-monitoring,grid_f2_a0.9,0.3,2,0.9,20,4,
A1-bias-v1-monitoring,grid_f2_a0.18,0.3,2,0.18,20,4,
A1-bias-v1-monitoring,grid_f2_a1.3,0.3,2,1.3,20,4,
A1-bias-v1-monitoring,grid_f2_a0.27,0.3,2,0.27,20,4,
A1-bias-v1-monitoring,grid_f2_a0.6,0.3,2,0.6,20,4,
A1-bias-v1-monitoring,grid_f2_a0.08,0.3,2,0.08,20,4,
A1-bias-v1-monitoring,reference_after_2,0.3,2,0.6,20,4,
A1-bias-v1-monitoring,grid_f0.5_a0.4,0.3,0.5,0.4,40,8,
A1-bias-v1-monitoring,grid_f0.5_a0.12,0.3,0.5,0.12,40,8,
A1-bias-v1-monitoring,grid_f0.5_a0.9,0.3,0.5,0.9,40,8,
A1-bias-v1-monitoring,grid_f0.5_a0.18,0.3,0.5,0.18,40,8,
A1-bias-v1-monitoring,grid_f0.5_a1.3,0.3,0.5,1.3,40,8,
A1-bias-v1-monitoring,grid_f0.5_a0.27,0.3,0.5,0.27,40,8,
A1-bias-v1-monitoring,grid_f0.5_a0.6,0.3,0.5,0.6,40,8,
A1-bias-v1-monitoring,grid_f0.5_a0.08,0.3,0.5,0.08,40,8,
A1-bias-v1-monitoring,reference_after_0.5,0.3,2,0.6,20,4,
A1-bias-v1-monitoring,grid_f8_a0.4,0.3,8,0.4,20,2,
A1-bias-v1-monitoring,grid_f8_a0.12,0.3,8,0.12,20,2,
A1-bias-v1-monitoring,grid_f8_a0.9,0.3,8,0.9,20,2,
A1-bias-v1-monitoring,grid_f8_a0.18,0.3,8,0.18,20,2,
A1-bias-v1-monitoring,grid_f8_a1.3,0.3,8,1.3,20,2,
A1-bias-v1-monitoring,grid_f8_a0.27,0.3,8,0.27,20,2,
A1-bias-v1-monitoring,grid_f8_a0.6,0.3,8,0.6,20,2,
A1-bias-v1-monitoring,grid_f8_a0.08,0.3,8,0.08,20,2,
A1-bias-v1-monitoring,reference_after_8,0.3,2,0.6,20,4,
A1-bias-v1-monitoring,grid_f0.2_a0.4,0.3,0.2,0.4,100,20,
A1-bias-v1-monitoring,grid_f0.2_a0.12,0.3,0.2,0.12,100,20,
A1-bias-v1-monitoring,grid_f0.2_a0.9,0.3,0.2,0.9,100,20,
A1-bias-v1-monitoring,grid_f0.2_a0.18,0.3,0.2,0.18,100,20,
A1-bias-v1-monitoring,grid_f0.2_a1.3,0.3,0.2,1.3,100,20,
A1-bias-v1-monitoring,grid_f0.2_a0.27,0.3,0.2,0.27,100,20,
A1-bias-v1-monitoring,grid_f0.2_a0.6,0.3,0.2,0.6,100,20,
A1-bias-v1-monitoring,grid_f0.2_a0.08,0.3,0.2,0.08,100,20,
A1-bias-v1-monitoring,reference_after_0.2,0.3,2,0.6,20,4,
A1-bias-v1-monitoring,grid_f32_a0.4,0.3,32,0.4,20,2,
A1-bias-v1-monitoring,grid_f32_a0.12,0.3,32,0.12,20,2,
A1-bias-v1-monitoring,grid_f32_a0.9,0.3,32,0.9,20,2,
A1-bias-v1-monitoring,grid_f32_a0.18,0.3,32,0.18,20,2,
A1-bias-v1-monitoring,grid_f32_a1.3,0.3,32,1.3,20,2,
A1-bias-v1-monitoring,grid_f32_a0.27,0.3,32,0.27,20,2,
A1-bias-v1-monitoring,grid_f32_a0.6,0.3,32,0.6,20,2,
A1-bias-v1-monitoring,grid_f32_a0.08,0.3,32,0.08,20,2,
A1-bias-v1-monitoring,reference_after_32,0.3,2,0.6,20,4,
A1-bias-v1-monitoring,low_depth_control_end,0.3,2,0.01,20,4,
