# Generated by scripts/build_universal_protocols.py; 20260911-v5-4h.
camera_profile,label,mean_u,frequency_hz,depth_a,duration_s,settle_s,role
,ref_2_0.2,0.3,2,0.2,12,3,
,ref_2_0.8,0.3,2,0.8,12,3,
,lower_f1_a0.36,0.3,1,0.36,12,3,
,lower_f1_a0.8,0.3,1,0.8,12,3,
,lower_f8_a0.8,0.3,8,0.8,12,3,
,lower_f8_a0.36,0.3,8,0.36,12,3,
,lower_f8_a0.2,0.3,8,0.2,12,3,
,lower_f8_a0.12,0.3,8,0.12,12,3,
,lower_f8_a0.08,0.3,8,0.08,12,3,
,lower_f8_a0.04,0.3,8,0.04,12,3,
,lower_f128_a0.04,0.3,128,0.04,12,3,
,lower_f128_a0.08,0.3,128,0.08,12,3,
,lower_f128_a0.12,0.3,128,0.12,12,3,
,lower_f128_a0.2,0.3,128,0.2,12,3,
,lower_f128_a0.36,0.3,128,0.36,12,3,
,lower_f128_a0.8,0.3,128,0.8,12,3,
,lower_f512_a0.8,0.3,512,0.8,12,3,
,lower_f512_a0.36,0.3,512,0.36,12,3,
,lower_f512_a0.2,0.3,512,0.2,12,3,
,lower_f512_a0.12,0.3,512,0.12,12,3,
,lower_f512_a0.08,0.3,512,0.08,12,3,
,lower_f512_a0.04,0.3,512,0.04,12,3,
,ref_close_0.2,0.3,2,0.2,12,3,
,ref_close_0.8,0.3,2,0.8,12,3,
