# Generated by scripts/build_universal_protocols.py; 20260911-v5-4h.
camera_profile,label,mean_u,frequency_hz,depth_a,duration_s,settle_s,role
,guard_0.2,0.3,0.125,0.2,96,16.0,
,guard_0.8,0.3,0.125,0.8,96,16.0,
,ref_0_0.2,0.3,2,0.2,12,3,
,ref_0_0.8,0.3,2,0.8,12,3,
,main_f0.25_a0.04,0.3,0.25,0.04,48,8.0,
,main_f0.25_a0.08,0.3,0.25,0.08,48,8.0,
,main_f0.25_a0.12,0.3,0.25,0.12,48,8.0,
,main_f0.25_a0.2,0.3,0.25,0.2,48,8.0,
,main_f0.25_a0.36,0.3,0.25,0.36,48,8.0,
,main_f0.25_a0.8,0.3,0.25,0.8,48,8.0,
,main_f2_a0.8,0.3,2,0.8,12,3,
,main_f2_a0.36,0.3,2,0.36,12,3,
,main_f2_a0.2,0.3,2,0.2,12,3,
,main_f2_a0.12,0.3,2,0.12,12,3,
,main_f2_a0.08,0.3,2,0.08,12,3,
,main_f2_a0.04,0.3,2,0.04,12,3,
,main_f16_a0.04,0.3,16,0.04,12,3,
,main_f16_a0.08,0.3,16,0.08,12,3,
,main_f16_a0.12,0.3,16,0.12,12,3,
,main_f16_a0.2,0.3,16,0.2,12,3,
,main_f16_a0.36,0.3,16,0.36,12,3,
,main_f16_a0.8,0.3,16,0.8,12,3,
,main_f0.5_a0.8,0.3,0.5,0.8,24,4.0,
,main_f0.5_a0.36,0.3,0.5,0.36,24,4.0,
