# Generated by scripts/build_universal_protocols.py; 20260910-v4.
camera_profile,label,mean_u,frequency_hz,depth_a,duration_s,settle_s,role
,ref_1_0.2,0.3,2,0.2,12,3,
,ref_1_0.8,0.3,2,0.8,12,3,
,main_f8_a0.02,0.3,8,0.02,12,3,
,main_f8_a0.04,0.3,8,0.04,12,3,
,main_f8_a0.08,0.3,8,0.08,12,3,
,main_f8_a0.12,0.3,8,0.12,12,3,
,main_f8_a0.2,0.3,8,0.2,12,3,
,main_f8_a0.36,0.3,8,0.36,12,3,
,main_f8_a0.64,0.3,8,0.64,12,3,
,main_f8_a1.0,0.3,8,1.0,12,3,
,main_f128_a1.0,0.3,128,1.0,12,3,
,main_f128_a0.64,0.3,128,0.64,12,3,
,main_f128_a0.36,0.3,128,0.36,12,3,
,main_f128_a0.2,0.3,128,0.2,12,3,
,main_f128_a0.12,0.3,128,0.12,12,3,
,main_f128_a0.08,0.3,128,0.08,12,3,
,main_f128_a0.04,0.3,128,0.04,12,3,
,main_f128_a0.02,0.3,128,0.02,12,3,
,main_f1_a0.02,0.3,1,0.02,12,3,
,main_f1_a0.04,0.3,1,0.04,12,3,
,main_f1_a0.08,0.3,1,0.08,12,3,
,main_f1_a0.12,0.3,1,0.12,12,3,
,main_f1_a0.2,0.3,1,0.2,12,3,
,main_f1_a0.36,0.3,1,0.36,12,3,
,main_f1_a0.64,0.3,1,0.64,12,3,
,main_f1_a1.0,0.3,1,1.0,12,3,
,main_f16_a1.0,0.3,16,1.0,12,3,
,main_f16_a0.64,0.3,16,0.64,12,3,
,main_f16_a0.36,0.3,16,0.36,12,3,
,main_f16_a0.2,0.3,16,0.2,12,3,
,main_f16_a0.12,0.3,16,0.12,12,3,
,main_f16_a0.08,0.3,16,0.08,12,3,
,main_f16_a0.04,0.3,16,0.04,12,3,
,main_f16_a0.02,0.3,16,0.02,12,3,
