# Generated by scripts/build_universal_protocols.py; 20260911-v5-4h.
camera_profile,label,mean_u,frequency_hz,depth_a,duration_s,settle_s,role
,guard_0.2,0.3,0.125,0.2,96,16.0,
,guard_0.8,0.3,0.125,0.8,96,16.0,
,ref_0_0.2,0.3,2,0.2,12,3,
,ref_0_0.8,0.3,2,0.8,12,3,
,main_f0.25_a0.04,0.3,0.25,0.04,48,8.0,
,main_f0.25_a0.08,0.3,0.25,0.08,48,8.0,
,main_f0.25_a0.12,0.3,0.25,0.12,48,8.0,
,main_f0.25_a0.2,0.3,0.25,0.2,48,8.0,
,main_f0.25_a0.36,0.3,0.25,0.36,48,8.0,
,main_f0.25_a0.8,0.3,0.25,0.8,48,8.0,
,main_f2_a0.8,0.3,2,0.8,12,3,
,main_f2_a0.36,0.3,2,0.36,12,3,
,main_f2_a0.2,0.3,2,0.2,12,3,
,main_f2_a0.12,0.3,2,0.12,12,3,
,main_f2_a0.08,0.3,2,0.08,12,3,
,main_f2_a0.04,0.3,2,0.04,12,3,
,main_f16_a0.04,0.3,16,0.04,12,3,
,main_f16_a0.08,0.3,16,0.08,12,3,
,main_f16_a0.12,0.3,16,0.12,12,3,
,main_f16_a0.2,0.3,16,0.2,12,3,
,main_f16_a0.36,0.3,16,0.36,12,3,
,main_f16_a0.8,0.3,16,0.8,12,3,
,main_f0.5_a0.8,0.3,0.5,0.8,24,4.0,
,main_f0.5_a0.36,0.3,0.5,0.36,24,4.0,
,ref_1_0.2,0.3,2,0.2,12,3,
,ref_1_0.8,0.3,2,0.8,12,3,
,main_f0.5_a0.2,0.3,0.5,0.2,24,4.0,
,main_f0.5_a0.12,0.3,0.5,0.12,24,4.0,
,main_f0.5_a0.08,0.3,0.5,0.08,24,4.0,
,main_f0.5_a0.04,0.3,0.5,0.04,24,4.0,
,main_f4_a0.04,0.3,4,0.04,12,3,
,main_f4_a0.08,0.3,4,0.08,12,3,
,main_f4_a0.12,0.3,4,0.12,12,3,
,main_f4_a0.2,0.3,4,0.2,12,3,
,main_f4_a0.36,0.3,4,0.36,12,3,
,main_f4_a0.8,0.3,4,0.8,12,3,
,main_f32_a0.8,0.3,32,0.8,12,3,
,main_f32_a0.36,0.3,32,0.36,12,3,
,main_f32_a0.2,0.3,32,0.2,12,3,
,main_f32_a0.12,0.3,32,0.12,12,3,
,main_f32_a0.08,0.3,32,0.08,12,3,
,main_f32_a0.04,0.3,32,0.04,12,3,
,main_f1_a0.04,0.3,1,0.04,12,3,
,main_f1_a0.08,0.3,1,0.08,12,3,
,main_f1_a0.12,0.3,1,0.12,12,3,
,main_f1_a0.2,0.3,1,0.2,12,3,
,ref_2_0.2,0.3,2,0.2,12,3,
,ref_2_0.8,0.3,2,0.8,12,3,
,main_f1_a0.36,0.3,1,0.36,12,3,
,main_f1_a0.8,0.3,1,0.8,12,3,
,main_f8_a0.8,0.3,8,0.8,12,3,
,main_f8_a0.36,0.3,8,0.36,12,3,
,main_f8_a0.2,0.3,8,0.2,12,3,
,main_f8_a0.12,0.3,8,0.12,12,3,
,main_f8_a0.08,0.3,8,0.08,12,3,
,main_f8_a0.04,0.3,8,0.04,12,3,
,main_f128_a0.04,0.3,128,0.04,12,3,
,main_f128_a0.08,0.3,128,0.08,12,3,
,main_f128_a0.12,0.3,128,0.12,12,3,
,main_f128_a0.2,0.3,128,0.2,12,3,
,main_f128_a0.36,0.3,128,0.36,12,3,
,main_f128_a0.8,0.3,128,0.8,12,3,
,main_f512_a0.8,0.3,512,0.8,12,3,
,main_f512_a0.36,0.3,512,0.36,12,3,
,main_f512_a0.2,0.3,512,0.2,12,3,
,main_f512_a0.12,0.3,512,0.12,12,3,
,main_f512_a0.08,0.3,512,0.08,12,3,
,main_f512_a0.04,0.3,512,0.04,12,3,
,ref_close_0.2,0.3,2,0.2,12,3,
,ref_close_0.8,0.3,2,0.8,12,3,
