# Generated by scripts/build_universal_protocols.py; 20260910-v4.
camera_profile,label,mean_u,frequency_hz,depth_a,duration_s,settle_s,role
,screen_f0.5_a0.04,0.3,0.5,0.04,16,4.0,
,screen_f0.5_a0.08,0.3,0.5,0.08,16,4.0,
,screen_f0.5_a0.12,0.3,0.5,0.12,16,4.0,
,screen_f0.5_a0.2,0.3,0.5,0.2,16,4.0,
,screen_f0.5_a0.36,0.3,0.5,0.36,16,4.0,
,screen_f0.5_a0.8,0.3,0.5,0.8,16,4.0,
,screen_f2_a0.8,0.3,2,0.8,10,3,
,screen_f2_a0.36,0.3,2,0.36,10,3,
,screen_f2_a0.2,0.3,2,0.2,10,3,
,screen_f2_a0.12,0.3,2,0.12,10,3,
,screen_f2_a0.08,0.3,2,0.08,10,3,
,screen_f2_a0.04,0.3,2,0.04,10,3,
,screen_f8_a0.04,0.3,8,0.04,10,3,
,screen_f8_a0.08,0.3,8,0.08,10,3,
,screen_f8_a0.12,0.3,8,0.12,10,3,
,screen_f8_a0.2,0.3,8,0.2,10,3,
,screen_f8_a0.36,0.3,8,0.36,10,3,
,screen_f8_a0.8,0.3,8,0.8,10,3,
,slow_guard_f0.125_a0.2,0.3,0.125,0.2,64,16.0,
,slow_guard_f0.125_a0.8,0.3,0.125,0.8,64,16.0,
,slow_guard_f0.25_a0.8,0.3,0.25,0.8,32,8.0,
,slow_guard_f0.25_a0.2,0.3,0.25,0.2,32,8.0,
